spec,target,thresh_source,pct,mode,n_trades,mean_bps,t_stat,win_rate,positive_assets,label_thresh
core_30_60,raw_quantile,train,90,long_only,1432,-0.7159286737442017,-1.0840829578792117,0.4972067039106145,2,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,raw_quantile,train,90,short_only,1911,-1.1023391485214233,-2.9402213760928224,0.4484563055991627,0,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,raw_quantile,train,90,long_short,3343,-0.9368171691894531,-2.63995381097764,0.46933891714029313,0,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,raw_quantile,train,95,long_only,678,-1.1005456447601318,-1.0454155894567183,0.5162241887905604,2,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,raw_quantile,train,95,short_only,761,-0.6670039892196655,-0.9954918852427415,0.45860709592641263,1,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,raw_quantile,train,95,long_short,1439,-0.8712716102600098,-1.4297759649025428,0.4857539958304378,2,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,raw_quantile,train,97,long_only,407,-2.964864730834961,-2.035776225183178,0.4963144963144963,2,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,raw_quantile,train,97,short_only,290,0.6917587518692017,0.5844711466584656,0.4827586206896552,4,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,raw_quantile,train,97,long_short,697,-1.4434574842453003,-1.4662415982231527,0.49067431850789095,1,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,raw_quantile,val,90,long_only,1538,-0.6705005764961243,-1.0379432193294946,0.5,2,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,raw_quantile,val,90,short_only,2094,-1.0851097106933594,-3.066300413590509,0.448901623686724,0,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,raw_quantile,val,90,long_short,3632,-0.9095401167869568,-2.6655440991078008,0.4705396475770925,0,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,raw_quantile,val,95,long_only,721,-1.1240496635437012,-1.1058661553354368,0.5117891816920943,2,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,raw_quantile,val,95,short_only,862,-0.5913339853286743,-0.9660492729647511,0.4593967517401392,1,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,raw_quantile,val,95,long_short,1583,-0.8339670300483704,-1.4623101691228704,0.4832596336070752,2,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,raw_quantile,val,97,long_only,446,-2.830672264099121,-1.9940655628004547,0.5022421524663677,2,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,raw_quantile,val,97,short_only,355,0.7732112407684326,0.7387809522097496,0.49295774647887325,4,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,raw_quantile,val,97,long_short,801,-1.233445644378662,-1.3434404478765145,0.49812734082397003,2,"(-0.0005800000508315861, 0.0006329999887384474)"
core_30_60,vol_std,train,90,long_only,1784,-0.5149942636489868,-0.9787673440435648,0.5151345291479821,3,"(-0.5, 0.5)"
core_30_60,vol_std,train,90,short_only,605,-0.8652065396308899,-2.0949037556697294,0.4809917355371901,1,"(-0.5, 0.5)"
core_30_60,vol_std,train,90,long_short,2389,-0.603683352470398,-1.4848257594439414,0.5064880703223106,1,"(-0.5, 0.5)"
core_30_60,vol_std,train,95,long_only,878,-0.6630977988243103,-0.7982170562764048,0.5296127562642369,3,"(-0.5, 0.5)"
core_30_60,vol_std,train,95,short_only,324,-0.5340123772621155,-1.151404481191022,0.46296296296296297,0,"(-0.5, 0.5)"
core_30_60,vol_std,train,95,long_short,1202,-0.6283027529716492,-1.0143270934998831,0.5116472545757071,3,"(-0.5, 0.5)"
core_30_60,vol_std,train,97,long_only,532,-2.064755439758301,-1.704378807600081,0.4981203007518797,3,"(-0.5, 0.5)"
core_30_60,vol_std,train,97,short_only,222,-0.612342357635498,-1.126226983940456,0.46846846846846846,0,"(-0.5, 0.5)"
core_30_60,vol_std,train,97,long_short,754,-1.6371216773986816,-1.88245463977482,0.48938992042440316,3,"(-0.5, 0.5)"
core_30_60,vol_std,val,90,long_only,1664,-0.5982150435447693,-1.0862454514765467,0.5186298076923077,3,"(-0.5, 0.5)"
core_30_60,vol_std,val,90,short_only,568,-0.7110738754272461,-1.6566560322555552,0.4876760563380282,1,"(-0.5, 0.5)"
core_30_60,vol_std,val,90,long_short,2232,-0.6269354224205017,-1.475819583496325,0.510752688172043,1,"(-0.5, 0.5)"
core_30_60,vol_std,val,95,long_only,787,-0.8239388465881348,-0.9245513522840303,0.5247776365946633,3,"(-0.5, 0.5)"
core_30_60,vol_std,val,95,short_only,296,-0.6971622109413147,-1.4503397610061775,0.44932432432432434,0,"(-0.5, 0.5)"
core_30_60,vol_std,val,95,long_short,1083,-0.7892889380455017,-1.194703229795864,0.5041551246537396,3,"(-0.5, 0.5)"
core_30_60,vol_std,val,97,long_only,494,-2.15281343460083,-1.6834195713214497,0.4979757085020243,3,"(-0.5, 0.5)"
core_30_60,vol_std,val,97,short_only,209,-0.7911483645439148,-1.3982701110975466,0.44976076555023925,0,"(-0.5, 0.5)"
core_30_60,vol_std,val,97,long_short,703,-1.747994065284729,-1.911982493136914,0.48364153627311524,3,"(-0.5, 0.5)"
macro_60_240,raw_quantile,train,90,long_only,1572,-0.21550244092941284,-0.3515840680960028,0.5063613231552163,1,"(-0.0005789999850094318, 0.0006320002139545977)"
